"","item_name","category","sub_category","Channel","central","east","north","south","west","total_sales"
"70","Be8014ks","Beverages","Health Drinks","Instore",541,0,0,0,0,541
"71","Eg89139gs","Eggs, Meat & Fish","Eggs","Instore",0,0,0,0,1637,1637
"72","Eg96487sh","Eggs, Meat & Fish","Fish","Online",0,0,0,775,0,775
"73","Fo19318ce","Food Grains","Rice","Online",0,0,0,0,1249,1249
"74","Fr32384es","Fruits & Veggies","Fresh Vegetables","Online",0,0,0,575,2934,3509
"75","Fr85246es","Fruits & Veggies","Organic Vegetables","Online",912,0,0,0,0,912
"76","ba93081ts","Bakery","Biscuits","Instore",0,0,0,0,2378,2378
"77","Ba75920es","Bakery","Cakes","Instore",0,2436,0,0,0,2436
"78","Be76885ks","Beverages","Health Drinks","Instore",1949,0,0,0,0,1949
"79","Be55413ks","Beverages","Soft Drinks","Online",0,0,0,0,1377,1377
"80","Eg91150gs","Eggs, Meat & Fish","Eggs","Online",0,1396,0,0,0,1396
"81","Fo29392es","Food Grains","Dals & Pulses","Instore",0,0,0,0,846,846
"82","Fr95451ts","Fruits & Veggies","Fresh Fruits","Instore",0,2450,0,0,0,2450
"83","Fr11592es","Fruits & Veggies","Organic Vegetables","Instore",0,0,0,0,603,603
"84","Oi25076ee","Oil & Masala","Edible Oil & Ghee","Instore",0,1153,0,0,744,1897
"85","Oi30220as","Oil & Masala","Masalas","Instore",0,0,0,0,1949,1949
"86","Oi76826es","Oil & Masala","Spices","Online",0,2115,0,0,0,2115
"87","Ba13223ts","Bakery","Biscuits","Online",1512,0,0,0,0,1512
"88","Ba12883es","Bakery","Cakes","Online",0,1268,0,0,0,1268
"89","Be73411ks","Beverages","Health Drinks","Online",0,0,0,1391,0,1391
"90","Eg83086en","Eggs, Meat & Fish","Chicken","Online",2454,0,0,0,0,2454
"91","Fo21573ur","Food Grains","Atta & Flour","Instore",0,1090,0,0,0,1090
"92","Fo33977es","Food Grains","Dals & Pulses","Online",0,0,0,0,1414,1414
"93","Fr41649es","Fruits & Veggies","Organic Vegetables","Instore",0,0,0,0,1602,1602
"94","Oi83477ee","Oil & Masala","Edible Oil & Ghee","Instore",2279,0,0,0,0,2279
"95","Oi6809as","Oil & Masala","Masalas","Instore",0,0,0,0,680,680
"96","Be81956ks","Beverages","Health Drinks","Online",624,0,0,0,0,624
"97","Eg88085on","Eggs, Meat & Fish","Mutton","Online",0,0,0,983,0,983
"98","Fo30455ur","Food Grains","Atta & Flour","Online",0,0,0,1585,0,1585
"99","Fo94573es","Food Grains","Dals & Pulses","Instore",0,0,0,0,664,664
"100","Fo71231ce","Food Grains","Rice","Online",1653,0,0,0,0,1653
"101","Fr94389ts","Fruits & Veggies","Fresh Fruits","Instore",0,0,0,644,1609,2253
"102","Fr92733es","Fruits & Veggies","Organic Vegetables","Online",0,0,0,0,2575,2575
"103","Sn7563es","Snacks","Chocolates","Online",0,1224,0,0,0,1224
"104","Ba83387es","Bakery","Cakes","Online",0,0,0,976,0,976
"105","Eg3284on","Eggs, Meat & Fish","Mutton","Instore",0,0,0,0,2248,2248
"106","Fo51525ce","Food Grains","Rice","Instore",0,0,0,0,1736,1736
"107","Fr94662es","Fruits & Veggies","Organic Vegetables","Instore",0,0,0,0,868,868
"108","Oi64400as","Oil & Masala","Masalas","Instore",0,2009,0,0,743,2752
"109","Ba59325ts","Bakery","Biscuits","Instore",0,0,0,0,1386,1386
"110","Be91566ks","Beverages","Soft Drinks","Online",0,1751,0,0,0,1751
"111","Eg71747en","Eggs, Meat & Fish","Chicken","Online",0,869,0,0,0,869
"112","Eg20653gs","Eggs, Meat & Fish","Eggs","Online",968,0,0,0,0,968
"113","Eg13520sh","Eggs, Meat & Fish","Fish","Online",0,2282,0,0,0,2282
"114","Fo24359ur","Food Grains","Atta & Flour","Instore",1447,1595,0,0,0,3042
"115","Fr78750ts","Fruits & Veggies","Fresh Fruits","Instore",1108,0,0,0,0,1108
"116","Fr76102es","Fruits & Veggies","Organic Vegetables","Instore",1444,0,0,0,0,1444
"117","Sn91691es","Snacks","Chocolates","Online",0,0,0,983,0,983
"118","Sn94427es","Snacks","Noodles","Instore",0,0,0,1881,0,1881
"119","Eg40344en","Eggs, Meat & Fish","Chicken","Instore",0,0,0,0,1888,1888
"120","Eg28927gs","Eggs, Meat & Fish","Eggs","Online",0,0,0,0,2464,2464
"121","Fr29412ts","Fruits & Veggies","Organic Fruits","Online",0,0,0,0,1107,1107
"122","Oi69820ee","Oil & Masala","Edible Oil & Ghee","Instore",0,0,0,650,0,650
"123","Oi81646as","Oil & Masala","Masalas","Instore",734,0,0,0,1961,2695
"124","Oi17852es","Oil & Masala","Spices","Instore",2189,0,0,0,0,2189
"125","Sn74157es","Snacks","Chocolates","Instore",2360,0,0,0,1717,4077
"126","Ba16702ts","Bakery","Biscuits","Online",0,0,0,1777,0,1777
"127","Be99504ks","Beverages","Health Drinks","Online",0,0,0,0,1332,1332
"128","Eg6679gs","Eggs, Meat & Fish","Eggs","Online",1787,0,0,0,506,2293
"129","Eg57816on","Eggs, Meat & Fish","Mutton","Online",0,0,0,1433,0,1433
"130","Fo36784ur","Food Grains","Atta & Flour","Instore",0,0,0,1887,0,1887
"131","Oi10223ee","Oil & Masala","Edible Oil & Ghee","Instore",0,0,0,0,1299,1299
"132","Oi62503as","Oil & Masala","Masalas","Instore",1623,0,0,1798,0,3421
"133","Sn59290es","Snacks","Chocolates","Online",0,0,0,1852,0,1852
"134","Sn42429es","Snacks","Cookies","Online",0,0,0,2207,1253,3460
"135","Sn65191es","Snacks","Noodles","Online",1059,0,0,0,0,1059
"136","Ba63879ns","Bakery","Breads & Buns","Instore",0,2229,0,0,0,2229
"137","Be86569ks","Beverages","Health Drinks","Online",0,2170,0,0,632,2802
"138","Be75768ks","Beverages","Soft Drinks","Online",2016,1443,0,1693,2331,7483
"139","Fo65210es","Food Grains","Dals & Pulses","Instore",2328,0,0,0,0,2328
"140","Fo58906es","Food Grains","Organic Staples","Instore",0,1824,0,0,0,1824
"141","Fr91594ts","Fruits & Veggies","Fresh Fruits","Instore",0,0,0,0,1869,1869
"142","Fr44435es","Fruits & Veggies","Fresh Vegetables","Instore",0,0,0,0,1077,1077
"143","Fr52158ts","Fruits & Veggies","Organic Fruits","Instore",0,0,0,551,1656,2207
"144","Oi49986as","Oil & Masala","Masalas","Online",0,0,0,0,2126,2126
"145","Sn4503es","Snacks","Chocolates","Online",0,0,0,0,1657,1657
"146","Eg86211on","Eggs, Meat & Fish","Mutton","Online",0,1918,0,0,0,1918
"147","Fo31908ur","Food Grains","Atta & Flour","Instore",0,0,0,0,1210,1210
"148","Fr56008ts","Fruits & Veggies","Fresh Fruits","Instore",0,1097,0,0,0,1097
"149","Oi41959ee","Oil & Masala","Edible Oil & Ghee","Instore",754,0,0,0,0,754
"150","Sn64693es","Snacks","Chocolates","Instore",2113,0,0,0,0,2113
"151","Sn99442es","Snacks","Cookies","Online",2090,0,0,0,0,2090
"152","Sn57487es","Snacks","Noodles","Instore",781,0,0,0,0,781
"153","Ba54850ts","Bakery","Biscuits","Instore",0,3632,0,0,0,3632
"154","ba98422es","Bakery","Cakes","Instore",0,1703,0,0,0,1703
"155","Eg30663on","Eggs, Meat & Fish","Mutton","Instore",0,1008,0,0,0,1008
"156","Be72440ks","Beverages","Health Drinks","Instore",0,0,0,0,1779,1779
"157","Be95215ks","Beverages","Soft Drinks","Online",1499,0,0,0,0,1499
"158","Sn93269es","Snacks","Chocolates","Instore",0,0,0,0,2352,2352
"159","Sn72888es","Snacks","Cookies","Online",0,665,0,0,0,665
"160","Ba16722ns","Bakery","Breads & Buns","Instore",0,3221,0,0,0,3221
"161","be21830ks","Beverages","Health Drinks","Online",0,0,0,992,0,992
"162","Eg46066gs","Eggs, Meat & Fish","Eggs","Online",0,0,0,2075,0,2075
"163","Fo3276ur","Food Grains","Atta & Flour","Online",0,0,0,2284,0,2284
"164","Fo54762es","Food Grains","Dals & Pulses","Online",0,859,0,0,584,1443
"165","Fo25799es","Food Grains","Organic Staples","Instore",1471,0,0,0,2307,3778
"166","Fr79654ts","Fruits & Veggies","Fresh Fruits","Online",0,1799,0,0,0,1799
"167","Oi90006ee","Oil & Masala","Edible Oil & Ghee","Online",0,0,0,0,1722,1722
"168","Sn87661es","Snacks","Chocolates","Instore",2021,0,0,0,0,2021
"169","Sn80535es","Snacks","Cookies","Online",0,0,0,0,519,519
"170","Ba94500ns","Bakery","Breads & Buns","Online",0,2011,0,0,0,2011
"171","Ba6779es","Bakery","Cakes","Instore",0,0,0,1669,0,1669
"172","Fo89698es","Food Grains","Dals & Pulses","Online",789,0,0,0,0,789
"173","Fo16865es","Food Grains","Organic Staples","Online",2444,0,0,0,0,2444
"174","Fr80358es","Fruits & Veggies","Fresh Vegetables","Instore",0,0,0,1604,0,1604
"175","Fr16739es","Fruits & Veggies","Organic Vegetables","Instore",0,2223,0,0,0,2223
"176","Oi50498ee","Oil & Masala","Edible Oil & Ghee","Online",0,1213,0,0,0,1213
"177","Oi39001es","Oil & Masala","Spices","Online",2003,0,0,0,0,2003
"178","Sn79461es","Snacks","Cookies","Instore",2320,0,0,0,0,2320
"179","Ba49308ns","Bakery","Breads & Buns","Instore",0,1984,0,0,2153,4137
"180","Be89133ks","Beverages","Health Drinks","Instore",0,0,0,1726,2188,3914
"181","Be22653ks","Beverages","Soft Drinks","Instore",0,742,0,0,0,742
"182","Eg78942gs","Eggs, Meat & Fish","Eggs","Instore",0,647,0,0,0,647
"183","Eg32034sh","Eggs, Meat & Fish","Fish","Instore",0,1443,0,0,0,1443
"184","Eg58493on","Eggs, Meat & Fish","Mutton","Instore",0,0,0,1490,0,1490
"185","Fo71304ur","Food Grains","Atta & Flour","Instore",0,0,0,2120,0,2120
"186","Fo80266es","Food Grains","Organic Staples","Instore",559,0,0,0,960,1519
"187","Fo76700ce","Food Grains","Rice","Instore",0,0,0,1143,2063,3206
"188","Sn34731es","Snacks","Chocolates","Online",0,0,0,0,2154,2154
"189","Sn70105es","Snacks","Noodles","Instore",589,0,0,0,0,589
"190","Ba21427ts","Bakery","Biscuits","Online",865,0,0,0,0,865
"191","Ba52981ns","Bakery","Breads & Buns","Instore",728,0,0,0,0,728
"192","Be64482ks","Beverages","Soft Drinks","Instore",0,0,0,0,2475,2475
"193","Eg53596en","Eggs, Meat & Fish","Chicken","Online",0,0,0,1379,0,1379
"194","Eg82077sh","Eggs, Meat & Fish","Fish","Instore",1114,0,0,0,0,1114
"195","Fo44034ur","Food Grains","Atta & Flour","Online",0,1550,0,0,1368,2918
"196","Fr78160ts","Fruits & Veggies","Fresh Fruits","Online",0,2045,0,0,0,2045
"197","Oi78337es","Oil & Masala","Spices","Online",0,1495,0,0,2435,3930
"198","Sn80912es","Snacks","Cookies","Instore",0,0,0,0,542,542
"199","Sn86214es","Snacks","Noodles","Instore",0,537,0,0,0,537
"200","Ba89764ns","Bakery","Breads & Buns","Online",1037,0,0,0,0,1037
"201","Ba7962es","Bakery","Cakes","Online",868,0,0,0,0,868
"202","Be26837ks","Beverages","Health Drinks","Instore",2433,2794,0,0,0,5227
"203","Fr95581ts","Fruits & Veggies","Fresh Fruits","Instore",0,0,0,0,782,782
"204","Oi28671es","Oil & Masala","Spices","Online",0,0,0,2116,1990,4106
"205","Ba63656ts","Bakery","Biscuits","Online",0,0,0,0,1088,1088
"206","Ba5345ns","Bakery","Breads & Buns","Online",0,3191,0,0,0,3191
"207","Be14570ks","Beverages","Soft Drinks","Instore",0,0,0,0,2173,2173
"208","Eg42978en","Eggs, Meat & Fish","Chicken","Online",0,0,0,696,0,696
"209","Sn33429es","Snacks","Chocolates","Instore",0,3977,0,0,0,3977
"210","Sn66210es","Snacks","Noodles","Instore",2496,0,0,0,0,2496
"211","Ba10463ns","Bakery","Breads & Buns","Online",643,0,0,0,1773,2416
"212","Ba32859es","Bakery","Cakes","Online",0,873,0,0,0,873
"213","Be44636ks","Beverages","Health Drinks","Online",1340,0,0,0,3310,4650
"214","Be6666ks","Beverages","Soft Drinks","Instore",1868,0,0,0,0,1868
"215","Fo37408ur","Food Grains","Atta & Flour","Instore",1996,0,0,1853,0,3849
"216","Fo62974ce","Food Grains","Rice","Instore",0,0,0,0,1947,1947
"217","Oi87949as","Oil & Masala","Masalas","Online",0,2383,0,0,0,2383
"218","Oi50897es","Oil & Masala","Spices","Instore",2285,0,0,0,0,2285
"219","Ba80100ns","Bakery","Breads & Buns","Instore",1358,0,0,0,0,1358
"220","Be48106ks","Beverages","Soft Drinks","Instore",593,0,0,0,1936,2529
"221","Eg33063en","Eggs, Meat & Fish","Chicken","Instore",1711,0,0,0,0,1711
"222","Eg29902on","Eggs, Meat & Fish","Mutton","Instore",0,0,0,0,2329,2329
"223","Fo54005ce","Food Grains","Rice","Online",1531,0,0,0,0,1531
"224","Fr42251es","Fruits & Veggies","Organic Vegetables","Online",0,1098,0,0,0,1098
"225","Oi66682ee","Oil & Masala","Edible Oil & Ghee","Online",0,1023,0,0,0,1023
"226","Sn6070es","Snacks","Cookies","Instore",0,0,0,545,0,545
"227","Be5156ks","Beverages","Health Drinks","Instore",0,0,0,713,2399,3112
"228","Be94339ks","Beverages","Soft Drinks","Online",902,0,0,1423,0,2325
"229","Eg97756en","Eggs, Meat & Fish","Chicken","Online",0,924,0,0,0,924
"230","Eg27919sh","Eggs, Meat & Fish","Fish","Online",2038,1065,0,0,0,3103
"231","Fo72491ur","Food Grains","Atta & Flour","Instore",0,0,0,0,1896,1896
"232","Fo42349es","Food Grains","Organic Staples","Instore",1046,0,0,0,0,1046
"233","Fr61996es","Fruits & Veggies","Organic Vegetables","Online",0,0,0,0,2184,2184
"234","Oi42183as","Oil & Masala","Masalas","Instore",0,632,0,0,1976,2608
"235","Oi16210es","Oil & Masala","Spices","Instore",0,0,0,0,1141,1141
"236","Sn72012es","Snacks","Chocolates","Online",0,0,0,0,1482,1482
"237","Sn23163es","Snacks","Noodles","Instore",1961,2099,0,0,0,4060
"238","Ba80100es","Bakery","Cakes","Online",0,0,0,0,2542,2542
"239","Fo90002ur","Food Grains","Atta & Flour","Instore",0,0,0,0,1907,1907
"240","Fo91023es","Food Grains","Organic Staples","Online",0,1253,0,0,0,1253
"241","Oi2320ee","Oil & Masala","Edible Oil & Ghee","Online",0,0,0,1331,1784,3115
"242","Sn23155es","Snacks","Chocolates","Online",0,2229,0,0,1095,3324
"243","Sn44421es","Snacks","Cookies","Online",2045,0,0,0,0,2045
"244","Ba62462ns","Bakery","Breads & Buns","Online",0,2069,0,0,0,2069
"245","Be27266ks","Beverages","Health Drinks","Online",0,0,0,2272,703,2975
"246","Be99829ks","Beverages","Soft Drinks","Instore",0,2274,0,0,0,2274
"247","Eg38778en","Eggs, Meat & Fish","Chicken","Instore",2244,0,0,0,0,2244
"248","Eg15276gs","Eggs, Meat & Fish","Eggs","Instore",1717,0,0,0,0,1717
"249","Eg4712on","Eggs, Meat & Fish","Mutton","Online",0,0,0,1665,0,1665
"250","Fo9603ce","Food Grains","Rice","Instore",980,0,0,0,0,980
"251","Fr50754es","Fruits & Veggies","Organic Vegetables","Instore",0,0,0,0,520,520
"252","Oi91305ee","Oil & Masala","Edible Oil & Ghee","Instore",1591,0,0,0,0,1591
"253","Oi1534as","Oil & Masala","Masalas","Instore",0,2369,0,0,0,2369
"254","Oi18450es","Oil & Masala","Spices","Online",0,0,0,0,1150,1150
"255","Sn51000es","Snacks","Chocolates","Instore",0,1516,0,1355,0,2871
"256","Sn90416es","Snacks","Cookies","Instore",0,1036,0,0,0,1036
"257","Ba88588ns","Bakery","Breads & Buns","Instore",0,0,0,0,3063,3063
"258","Ba4706es","Bakery","Cakes","Online",0,0,0,1539,0,1539
"259","Eg80706gs","Eggs, Meat & Fish","Eggs","Instore",1670,0,0,0,1417,3087
"260","Fo87914es","Food Grains","Organic Staples","Instore",0,1343,0,0,0,1343
"261","Fr46056ts","Fruits & Veggies","Fresh Fruits","Online",1874,0,0,0,1899,3773
"262","Sn73147es","Snacks","Chocolates","Instore",0,0,0,0,2378,2378
"263","Sn6062es","Snacks","Cookies","Instore",0,1318,0,0,0,1318
"264","Be27881ks","Beverages","Health Drinks","Online",1432,0,0,0,3022,4454
"265","Eg59363en","Eggs, Meat & Fish","Chicken","Online",1832,0,0,0,0,1832
"266","Eg15043on","Eggs, Meat & Fish","Mutton","Instore",0,910,0,0,0,910
"267","Fr35769ts","Fruits & Veggies","Organic Fruits","Instore",0,0,0,0,1171,1171
"268","Oi84403ee","Oil & Masala","Edible Oil & Ghee","Online",0,0,0,0,1746,1746
"269","Sn75930es","Snacks","Cookies","Instore",0,847,0,0,0,847
"270","Ba50156ns","Bakery","Breads & Buns","Online",1607,0,0,0,0,1607
"271","Ba25542es","Bakery","Cakes","Instore",0,0,0,747,0,747
"272","Be63627ks","Beverages","Health Drinks","Online",0,1165,0,0,0,1165
"273","Be53808ks","Beverages","Soft Drinks","Online",0,815,0,0,0,815
"274","Oi44682ee","Oil & Masala","Edible Oil & Ghee","Online",0,0,0,689,2370,3059
"275","Sn46120es","Snacks","Cookies","Online",0,2038,0,1747,0,3785
"276","Sn82071es","Snacks","Noodles","Instore",541,0,0,0,0,541
"277","Ba1856ns","Bakery","Breads & Buns","Instore",0,0,0,1914,0,1914
"278","Be17730ks","Beverages","Soft Drinks","Instore",0,734,0,0,0,734
"279","Eg81361en","Eggs, Meat & Fish","Chicken","Instore",0,0,0,1652,0,1652
"280","Fo79312es","Food Grains","Dals & Pulses","Online",0,0,0,0,2430,2430
"281","Fr69702ts","Fruits & Veggies","Fresh Fruits","Instore",2053,0,0,0,0,2053
"282","Fr2452es","Fruits & Veggies","Organic Vegetables","Online",0,4316,0,0,0,4316
"283","Oi21322es","Oil & Masala","Spices","Instore",0,0,0,1217,0,1217
"284","Sn46498es","Snacks","Cookies","Online",546,876,0,0,0,1422
"285","Be97668ks","Beverages","Health Drinks","Instore",0,1182,0,0,1412,2594
"286","Fo79282es","Food Grains","Organic Staples","Online",942,1262,0,0,0,2204
"287","Fr38804es","Fruits & Veggies","Organic Vegetables","Online",0,0,0,1117,0,1117
"288","Oi85267es","Oil & Masala","Spices","Instore",0,1171,0,0,0,1171
"289","Sn11628es","Snacks","Chocolates","Online",0,0,0,0,1581,1581
"290","Sn34516es","Snacks","Noodles","Online",0,541,0,0,0,541
"291","Ba16314ts","Bakery","Biscuits","Online",0,849,0,0,0,849
"292","Ba17568es","Bakery","Cakes","Online",0,2134,0,0,0,2134
"293","Be92001ks","Beverages","Health Drinks","Online",0,1817,0,0,0,1817
"294","Be69403ks","Beverages","Soft Drinks","Online",0,893,0,0,0,893
"295","Eg11850en","Eggs, Meat & Fish","Chicken","Online",0,0,0,2191,0,2191
"296","Eg71285gs","Eggs, Meat & Fish","Eggs","Online",0,856,0,0,0,856
"297","Eg61942sh","Eggs, Meat & Fish","Fish","Instore",609,0,0,517,0,1126
"298","Fo18788ce","Food Grains","Rice","Online",0,0,0,570,1503,2073
"299","Fr92221es","Fruits & Veggies","Organic Vegetables","Online",1284,0,0,1374,0,2658
"300","Ba79872ns","Bakery","Breads & Buns","Instore",0,0,0,0,695,695
"301","Be56273ks","Beverages","Health Drinks","Instore",0,636,0,0,0,636
"302","Fo8092ur","Food Grains","Atta & Flour","Instore",0,0,0,0,2065,2065
"303","Fo76507es","Food Grains","Dals & Pulses","Online",0,0,0,0,1857,1857
"304","Fo66955es","Food Grains","Organic Staples","Instore",1898,2425,0,0,0,4323
"305","Fr2069ts","Fruits & Veggies","Organic Fruits","Online",0,1422,0,0,0,1422
"306","Oi41796ee","Oil & Masala","Edible Oil & Ghee","Instore",0,0,0,0,1213,1213
"307","Oi66952as","Oil & Masala","Masalas","Online",0,1767,0,0,0,1767
"308","Oi49177es","Oil & Masala","Spices","Instore",0,1036,0,0,0,1036
"309","Sn17387es","Snacks","Chocolates","Instore",745,0,0,0,0,745
"310","Sn56028es","Snacks","Cookies","Online",0,0,0,2117,0,2117
"311","Sn84880es","Snacks","Noodles","Instore",0,0,0,0,747,747
"312","Ba86765ts","Bakery","Biscuits","Online",2150,0,0,0,0,2150
"313","Ba61109es","Bakery","Cakes","Online",0,1090,0,0,0,1090
"314","Be65863ks","Beverages","Health Drinks","Instore",0,0,0,2427,2290,4717
"315","Be30843ks","Beverages","Soft Drinks","Instore",1747,2168,0,603,1706,6224
"316","Eg16966on","Eggs, Meat & Fish","Mutton","Instore",0,0,0,0,1286,1286
"317","Oi66133ee","Oil & Masala","Edible Oil & Ghee","Online",2368,0,0,0,0,2368
"318","Sn81795es","Snacks","Noodles","Instore",0,0,0,1791,0,1791
"319","Ba21040ns","Bakery","Breads & Buns","Online",0,0,0,959,531,1490
"320","Ba18792es","Bakery","Cakes","Instore",0,0,0,0,672,672
"321","Be31652ks","Beverages","Health Drinks","Online",0,2476,0,0,1764,4240
"322","Be8155ks","Beverages","Soft Drinks","Online",1256,0,0,0,0,1256
"323","Fo32530es","Food Grains","Dals & Pulses","Instore",0,0,0,0,784,784
"324","Fr41106ts","Fruits & Veggies","Fresh Fruits","Instore",0,0,0,0,1500,1500
"325","Fr8866es","Fruits & Veggies","Fresh Vegetables","Instore",620,0,0,0,0,620
"326","Fr16352ts","Fruits & Veggies","Organic Fruits","Instore",0,0,0,0,1184,1184
"327","Oi36417es","Oil & Masala","Spices","Online",4189,0,0,0,0,4189
"328","Sn66245es","Snacks","Noodles","Online",0,1569,0,0,0,1569
"329","Ba47974ts","Bakery","Biscuits","Instore",0,0,0,0,564,564
"330","Ba15095es","Bakery","Cakes","Instore",723,0,0,0,0,723
"331","Be65087ks","Beverages","Health Drinks","Online",2285,1972,0,0,0,4257
"332","Eg77709sh","Eggs, Meat & Fish","Fish","Online",652,0,0,0,0,652
"333","Fo8695es","Food Grains","Organic Staples","Online",0,0,0,1019,548,1567
"334","Fr45481es","Fruits & Veggies","Fresh Vegetables","Online",0,0,0,0,1993,1993
