Item Name,Category,Sub Category,Online_purchase,Instore_purchase,Central,East,North,South,West,Total Sales
Fo71231ce,Food Grains,Rice,1,0,1653,,,,,1653
Fr94389ts,Fruits & Veggies,Fresh Fruits,0,1,,,,644,1609,2253
Fr92733es,Fruits & Veggies,Organic Vegetables,1,0,,,,,2575,2575
Sn7563es,Snacks,Chocolates,1,0,,1224,,,,1224
Ba83387es,Bakery,Cakes,1,0,,,,976,,976
Eg3284on,"Eggs, Meat & Fish",Mutton,0,1,,,,,2248,2248
Fo51525ce,Food Grains,Rice,0,1,,,,,1736,1736
Fr94662es,Fruits & Veggies,Organic Vegetables,0,1,,,,,868,868
Oi64400as,Oil & Masala,Masalas,0,1,,2009,,,743,2752
Ba59325ts,Bakery,Biscuits,0,1,,,,,1386,1386
Be91566ks,Beverages,Soft Drinks,1,0,,1751,,,,1751
Eg71747en,"Eggs, Meat & Fish",Chicken,1,0,,869,,,,869
Eg20653gs,"Eggs, Meat & Fish",Eggs,1,0,968,,,,,968
Eg13520sh,"Eggs, Meat & Fish",Fish,1,0,,2282,,,,2282
Fo24359ur,Food Grains,Atta & Flour,0,1,1447,1595,,,,3042
Fr78750ts,Fruits & Veggies,Fresh Fruits,0,1,1108,,,,,1108
Fr76102es,Fruits & Veggies,Organic Vegetables,0,1,1444,,,,,1444
Sn91691es,Snacks,Chocolates,1,0,,,,983,,983
Sn94427es,Snacks,Noodles,0,1,,,,1881,,1881
Eg40344en,"Eggs, Meat & Fish",Chicken,0,1,,,,,1888,1888
Eg28927gs,"Eggs, Meat & Fish",Eggs,1,0,,,,,2464,2464
Fr29412ts,Fruits & Veggies,Organic Fruits,1,0,,,,,1107,1107
Oi69820ee,Oil & Masala,Edible Oil & Ghee,0,1,,,,650,,650
Oi81646as,Oil & Masala,Masalas,0,1,734,,,,1961,2695
Oi17852es,Oil & Masala,Spices,0,1,2189,,,,,2189
Sn74157es,Snacks,Chocolates,0,1,2360,,,,1717,4077
Ba16702ts,Bakery,Biscuits,1,0,,,,1777,,1777
Be99504ks,Beverages,Health Drinks,1,0,,,,,1332,1332
Eg6679gs,"Eggs, Meat & Fish",Eggs,1,0,1787,,,,506,2293
Eg57816on,"Eggs, Meat & Fish",Mutton,1,0,,,,1433,,1433
Fo36784ur,Food Grains,Atta & Flour,0,1,,,,1887,,1887
Oi10223ee,Oil & Masala,Edible Oil & Ghee,0,1,,,,,1299,1299
Oi62503as,Oil & Masala,Masalas,0,1,1623,,,1798,,3421
Sn59290es,Snacks,Chocolates,1,0,,,,1852,,1852
Sn42429es,Snacks,Cookies,1,0,,,,2207,1253,3460
Sn65191es,Snacks,Noodles,1,0,1059,,,,,1059
Ba63879ns,Bakery,Breads & Buns,0,1,,2229,,,,2229
Be86569ks,Beverages,Health Drinks,1,0,,2170,,,632,2802
Be75768ks,Beverages,Soft Drinks,1,0,2016,1443,,1693,2331,7483
Fo65210es,Food Grains,Dals & Pulses,0,1,2328,,,,,2328
Fo58906es,Food Grains,Organic Staples,0,1,,1824,,,,1824
Fr91594ts,Fruits & Veggies,Fresh Fruits,0,1,,,,,1869,1869
Fr44435es,Fruits & Veggies,Fresh Vegetables,0,1,,,,,1077,1077
Fr52158ts,Fruits & Veggies,Organic Fruits,0,1,,,,551,1656,2207
Oi49986as,Oil & Masala,Masalas,1,0,,,,,2126,2126
Sn4503es,Snacks,Chocolates,1,0,,,,,1657,1657
Eg86211on,"Eggs, Meat & Fish",Mutton,1,0,,1918,,,,1918
Fo31908ur,Food Grains,Atta & Flour,0,1,,,,,1210,1210
Fr56008ts,Fruits & Veggies,Fresh Fruits,0,1,,1097,,,,1097
Oi41959ee,Oil & Masala,Edible Oil & Ghee,0,1,754,,,,,754
Sn64693es,Snacks,Chocolates,0,1,2113,,,,,2113
Sn99442es,Snacks,Cookies,1,0,2090,,,,,2090
Sn57487es,Snacks,Noodles,0,1,781,,,,,781
Ba54850ts,Bakery,Biscuits,0,1,,3632,,,,3632
ba98422es,bakery,Cakes,0,1,,1703,,,,1703
Eg30663on,"Eggs, Meat & Fish",Mutton,0,1,,1008,,,,1008
Be72440ks,Beverages,Health Drinks,0,1,,,,,1779,1779
Be95215ks,Beverages,Soft Drinks,1,0,1499,,,,,1499
Sn93269es,Snacks,Chocolates,0,1,,,,,2352,2352
Sn72888es,Snacks,Cookies,1,0,,665,,,,665
Ba16722ns,Bakery,Breads & Buns,0,1,,3221,,,,3221
be21830ks,beverage,Health Drinks,1,0,,,,992,,992
Eg46066gs,"Eggs, Meat & Fish",Eggs,1,0,,,,2075,,2075
Fo3276ur,Food Grains,Atta & Flour,1,0,,,,2284,,2284
Fo54762es,Food Grains,Dals & Pulses,1,0,,859,,,584,1443
Fo25799es,Food Grains,Organic Staples,0,1,1471,,,,2307,3778
Fr79654ts,Fruits & Veggies,Fresh Fruits,1,0,,1799,,,,1799
Oi90006ee,Oil & Masala,Edible Oil & Ghee,1,0,,,,,1722,1722
Sn87661es,Snacks,Chocolates,0,1,2021,,,,,2021
Sn80535es,Snacks,Cookies,1,0,,,,,519,519
Ba94500ns,Bakery,Breads & Buns,1,0,,2011,,,,2011
Ba6779es,Bakery,Cakes,0,1,,,,1669,,1669
Fo89698es,Food Grains,Dals & Pulses,1,0,789,,,,,789
Fo16865es,Food Grains,Organic Staples,1,0,2444,,,,,2444
Fr80358es,Fruits & Veggies,Fresh Vegetables,0,1,,,,1604,,1604
Fr16739es,Fruits & Veggies,Organic Vegetables,0,1,,2223,,,,2223
Oi50498ee,Oil & Masala,Edible Oil & Ghee,1,0,,1213,,,,1213
Oi39001es,Oil & Masala,Spices,1,0,2003,,,,,2003
Sn79461es,Snacks,Cookies,0,1,2320,,,,,2320
Ba49308ns,Bakery,Breads & Buns,0,1,,1984,,,2153,4137
Be89133ks,Beverages,Health Drinks,0,1,,,,1726,2188,3914
Be22653ks,Beverages,Soft Drinks,0,1,,742,,,,742
Eg78942gs,"Eggs, Meat & Fish",Eggs,0,1,,647,,,,647
Eg32034sh,"Eggs, Meat, Fish",Fish,0,1,,1443,,,,1443
Eg58493on,"Eggs, Meat & Fish",Mutton,0,1,,,,1490,,1490
Fo71304ur,Food Grains,Atta & Flour,0,1,,,,2120,,2120
Fo80266es,Food Grains,Organic Staples,0,1,559,,,,960,1519
Fo76700ce,Food Grains,Rice,0,1,,,,1143,2063,3206
Sn34731es,Snacks,Chocolates,1,0,,,,,2154,2154
Sn70105es,Snacks,Noodles,0,1,589,,,,,589
Ba21427ts,Bakery,Biscuits,1,0,865,,,,,865
Ba52981ns,Bakery,Breads & Buns,0,1,728,,,,,728
Be64482ks,Beverages,Soft Drinks,0,1,,,,,2475,2475
Eg53596en,"Eggs, Meat & Fish",Chicken,1,0,,,,1379,,1379
Eg82077sh,"Eggs, Meat & Fish",Fish,0,1,1114,,,,,1114
Fo44034ur,Food Grains,Atta & Flour,1,0,,1550,,,1368,2918
Fr78160ts,Fruits & Veggies,Fresh Fruits,1,0,,2045,,,,2045
Oi78337es,Oil & Masala,Spices,1,0,,1495,,,2435,3930
Sn80912es,Snacks,Cookies,0,1,,,,,542,542
Sn86214es,Snacks,Noodles,0,1,,537,,,,537
Ba89764ns,Bakery,Breads & Buns,1,0,1037,,,,,1037
Ba7962es,Bakery,Cakes,1,0,868,,,,,868
Be26837ks,Beverages,Health Drinks,0,1,2433,2794,,,,5227
Fr95581ts,Fruits & Veggies,Fresh Fruits,0,1,,,,,782,782
Oi28671es,Oil & Masala,Spices,1,0,,,,2116,1990,4106
Ba63656ts,Bakery,Biscuits,1,0,,,,,1088,1088
Ba5345ns,Bakery,Breads & Buns,1,0,,3191,,,,3191
Be14570ks,Beverages,Soft Drinks,0,1,,,,,2173,2173
Eg42978en,"Eggs, Meat & Fish",Chicken,1,0,,,,696,,696
Sn33429es,Snacks,Chocolates,0,1,,3977,,,,3977
Sn66210es,Snacks,Noodles,0,1,2496,,,,,2496
Ba10463ns,Bakery,Breads & Buns,1,0,643,,,,1773,2416
Ba32859es,Bakery,Cakes,1,0,,873,,,,873
Be44636ks,Beverages,Health Drinks,1,0,1340,,,,3310,4650
Be6666ks,Beverages,Soft Drinks,0,1,1868,,,,,1868
Fo37408ur,Food Grains,Atta & Flour,0,1,1996,,,1853,,3849
Fo62974ce,Food Grains,Rice,0,1,,,,,1947,1947
Oi87949as,Oil & Masala,Masalas,1,0,,2383,,,,2383
Oi50897es,Oil & Masala,Spices,0,1,2285,,,,,2285
Ba80100ns,Bakery,Breads & Buns,0,1,1358,,,,,1358
Be48106ks,Beverages,Soft Drinks,0,1,593,,,,1936,2529
Eg33063en,"Eggs, Meat & Fish",Chicken,0,1,1711,,,,,1711
Eg29902on,"Eggs, Meat & Fish",Mutton,0,1,,,,,2329,2329
Fo54005ce,Food Grains,Rice,1,0,1531,,,,,1531
Fr42251es,Fruits & Veggies,Organic Vegetables,1,0,,1098,,,,1098
Oi66682ee,Oil & Masala,Edible Oil & Ghee,1,0,,1023,,,,1023
Sn6070es,Snacks,Cookies,0,1,,,,545,,545
Be5156ks,Beverages,Health Drinks,0,1,,,,713,2399,3112
Be94339ks,Beverages,Soft Drinks,1,0,902,,,1423,,2325
Eg97756en,"Eggs, Meat & Fish",Chicken,1,0,,924,,,,924
Eg27919sh,"Eggs, Meat & Fish",Fish,1,0,2038,1065,,,,3103
Fo72491ur,Food Grains,Atta & Flour,0,1,,,,,1896,1896
Fo42349es,Food Grains,Organic Staples,0,1,1046,,,,,1046
Fr61996es,Fruits & Veggies,Organic Vegetables,1,0,,,,,2184,2184
Oi42183as,Oil & Masala,Masalas,0,1,,632,,,1976,2608
Oi16210es,Oil & Masala,Spices,0,1,,,,,1141,1141
Sn72012es,Snacks,Chocolates,1,0,,,,,1482,1482
Sn23163es,Snacks,Noodles,0,1,1961,2099,,,,4060
Ba80100es,Bakery,Cakes,1,0,,,,,2542,2542
Fo90002ur,Food Grains,Atta & Flour,0,1,,,,,1907,1907
Fo91023es,Food Grains,Organic Staples,1,0,,1253,,,,1253
Oi2320ee,Oil & Masala,Edible Oil & Ghee,1,0,,,,1331,1784,3115
Sn23155es,Snacks,Chocolates,1,0,,2229,,,1095,3324
Sn44421es,Snacks,Cookies,1,0,2045,,,,,2045
Ba62462ns,Bakery,Breads & Buns,1,0,,2069,,,,2069
Be27266ks,Beverages,Health Drinks,1,0,,,,2272,703,2975
Be99829ks,Beverages,Soft Drinks,0,1,,2274,,,,2274
Eg38778en,"Eggs, Meat & Fish",Chicken,0,1,2244,,,,,2244
Eg15276gs,"Eggs, Meat & Fish",Eggs,0,1,1717,,,,,1717
Eg4712on,"Eggs, Meat & Fish",Mutton,1,0,,,,1665,,1665
Fo9603ce,Food Grains,Rice,0,1,980,,,,,980
Fr50754es,Fruits & Veggies,Organic Vegetables,0,1,,,,,520,520
Oi91305ee,Oil & Masala,Edible Oil & Ghee,0,1,1591,,,,,1591
Oi1534as,Oil & Masala,Masalas,0,1,,2369,,,,2369
Oi18450es,Oil & Masala,Spices,1,0,,,,,1150,1150
Sn51000es,Snacks,Chocolates,0,1,,1516,,1355,,2871
Sn90416es,Snacks,Cookies,0,1,,1036,,,,1036
Ba88588ns,Bakery,Breads & Buns,0,1,,,,,3063,3063
Ba4706es,Bakery,Cakes,1,0,,,,1539,,1539
Eg80706gs,"Eggs, Meat & Fish",Eggs,0,1,1670,,,,1417,3087
Fo87914es,Food Grains,Organic Staples,0,1,,1343,,,,1343
Fr46056ts,Fruits & Veggies,Fresh Fruits,1,0,1874,,,,1899,3773
Sn73147es,Snacks,Chocolates,0,1,,,,,2378,2378
Sn6062es,Snacks,Cookies,0,1,,1318,,,,1318
Be27881ks,Beverages,Health Drinks,1,0,1432,,,,3022,4454
Eg59363en,"Eggs, Meat & Fish",Chicken,1,0,1832,,,,,1832
Eg15043on,"Eggs, Meat & Fish",Mutton,0,1,,910,,,,910
Fr35769ts,Fruits & Veggies,Organic Fruits,0,1,,,,,1171,1171
Oi84403ee,Oil & Masala,Edible Oil & Ghee,1,0,,,,,1746,1746
Sn75930es,Snacks,Cookies,0,1,,847,,,,847
Ba50156ns,Bakery,Breads & Buns,1,0,1607,,,,,1607
Ba25542es,Bakery,Cakes,0,1,,,,747,,747
Be63627ks,Beverages,Health Drinks,1,0,,1165,,,,1165
Be53808ks,Beverages,Soft Drinks,1,0,,815,,,,815
Oi44682ee,Oil & Masala,Edible Oil & Ghee,1,0,,,,689,2370,3059
Sn46120es,Snacks,Cookies,1,0,,2038,,1747,,3785
Sn82071es,Snacks,Noodles,0,1,541,,,,,541
Ba1856ns,Bakery,Breads & Buns,0,1,,,,1914,,1914
Be17730ks,Beverages,Soft Drinks,0,1,,734,,,,734
Eg81361en,"Eggs, Meat & Fish",Chicken,0,1,,,,1652,,1652
Fo79312es,Food Grains,Dals & Pulses,1,0,,,,,2430,2430
Fr69702ts,Fruits & Veggies,Fresh Fruits,0,1,2053,,,,,2053
Fr2452es,Fruits & Veggies,Organic Vegetables,1,0,,4316,,,,4316
Oi21322es,Oil & Masala,Spices,0,1,,,,1217,,1217
Sn46498es,Snacks,Cookies,1,0,546,876,,,,1422
Be97668ks,Beverages,Health Drinks,0,1,,1182,,,1412,2594
Fo79282es,Food Grains,Organic Staples,1,0,942,1262,,,,2204
Fr38804es,Fruits & Veggies,Organic Vegetables,1,0,,,,1117,,1117
Oi85267es,Oil & Masala,Spices,0,1,,1171,,,,1171
Sn11628es,Snacks,Chocolates,1,0,,,,,1581,1581
Sn34516es,Snacks,Noodles,1,0,,541,,,,541
Ba16314ts,Bakery,Biscuits,1,0,,849,,,,849
Ba17568es,Bakery,Cakes,1,0,,2134,,,,2134
Be92001ks,Beverages,Health Drinks,1,0,,1817,,,,1817
Be69403ks,Beverages,Soft Drinks,1,0,,893,,,,893
Eg11850en,"Eggs, Meat & Fish",Chicken,1,0,,,,2191,,2191
Eg71285gs,"Eggs, Meat & Fish",Eggs,1,0,,856,,,,856
Eg61942sh,"Eggs, Meat & Fish",Fish,0,1,609,,,517,,1126
Fo18788ce,Food Grains,Rice,1,0,,,,570,1503,2073
Fr92221es,Fruits & Veggies,Organic Vegetables,1,0,1284,,,1374,,2658
Ba79872ns,Bakery,Breads & Buns,0,1,,,,,695,695
Be56273ks,Beverages,Health Drinks,0,1,,636,,,,636
Fo8092ur,Food Grains,Atta & Flour,0,1,,,,,2065,2065
Fo76507es,Food Grains,Dals & Pulses,1,0,,,,,1857,1857
Fo66955es,Food Grains,Organic Staples,0,1,1898,2425,,,,4323
Fr2069ts,Fruits & Veggies,Organic Fruits,1,0,,1422,,,,1422
Oi41796ee,Oil & Masala,Edible Oil & Ghee,0,1,,,,,1213,1213
Oi66952as,Oil & Masala,Masalas,1,0,,1767,,,,1767
Oi49177es,Oil & Masala,Spices,0,1,,1036,,,,1036
Sn17387es,Snacks,Chocolates,0,1,745,,,,,745
Sn56028es,Snacks,Cookies,1,0,,,,2117,,2117
Sn84880es,Snacks,Noodles,0,1,,,,,747,747
Ba86765ts,Bakery,Biscuits,1,0,2150,,,,,2150
Ba61109es,Bakery,Cakes,1,0,,1090,,,,1090
Be65863ks,Beverages,Health Drinks,0,1,,,,2427,2290,4717
Be30843ks,Beverages,Soft Drinks,0,1,1747,2168,,603,1706,6224
Eg16966on,"Eggs, Meat & Fish",Mutton,0,1,,,,,1286,1286
Oi66133ee,Oil & Masala,Edible Oil & Ghee,1,0,2368,,,,,2368
Sn81795es,Snacks,Noodles,0,1,,,,1791,,1791
Ba21040ns,Bakery,Breads & Buns,1,0,,,,959,531,1490
Ba18792es,Bakery,Cakes,0,1,,,,,672,672
Be31652ks,Beverages,Health Drinks,1,0,,2476,,,1764,4240
Be8155ks,Beverages,Soft Drinks,1,0,1256,,,,,1256
Fo32530es,Food Grains,Dals & Pulses,0,1,,,,,784,784
Fr41106ts,Fruits & Veggies,Fresh Fruits,0,1,,,,,1500,1500
Fr8866es,Fruits & Veggies,Fresh Vegetables,0,1,620,,,,,620
Fr16352ts,Fruits & Veggies,Organic Fruits,0,1,,,,,1184,1184
Oi36417es,Oil & Masala,Spices,1,0,4189,,,,,4189
Sn66245es,Snacks,Noodles,1,0,,1569,,,,1569
Ba47974ts,Bakery,Biscuits,0,1,,,,,564,564
Ba15095es,Bakery,Cakes,0,1,723,,,,,723
Be65087ks,Beverages,Health Drinks,1,0,2285,1972,,,,4257
Eg77709sh,"Eggs, Meat & Fish",Fish,1,0,652,,,,,652
Fo8695es,Food Grains,Organic Staples,1,0,,,,1019,548,1567
Fr45481es,Fruits & Veggies,Fresh Vegetables,1,0,,,,,1993,1993
Ba33541ts,Bakery,Biscuits,1,0,,,,779,1809,2588
Ba69416es,Bakery,Cakes,0,1,626,,,,,626
Eg59131sh,"Eggs, Meat & Fish",Fish,0,1,,,,1139,,1139
Eg53696on,"Eggs, Meat & Fish",Mutton,1,0,1990,,,,,1990
Fo76360ce,Food Grains,Rice,1,0,,,,,2144,2144
Fr55951ts,Fruits & Veggies,Fresh Fruits,1,0,,4703,,,,4703
Fr22528es,Fruits & Veggies,Organic Vegetables,1,0,,,,,2402,2402
Oi80437as,Oil & Masala,Masalas,0,1,,,,,1132,1132
Be89657ks,Beverages,Health Drinks,0,1,,,,1512,,1512
Eg85172gs,"Eggs, Meat & Fish",Eggs,1,0,2209,,,,,2209
Eg79074sh,"Eggs, Meat & Fish",Fish,1,0,1464,,,,,1464
Fo25350ur,Food Grains,Atta & Flour,1,0,1059,,,,,1059
Fr48966ts,Fruits & Veggies,Fresh Fruits,1,0,1808,,,,,1808
Fr80285es,Fruits & Veggies,Fresh Vegetables,1,0,2172,,,,,2172
Fr64492ts,Fruits & Veggies,Organic Fruits,1,0,,,,,1620,1620
Oi70174ee,Oil & Masala,Edible Oil & Ghee,1,0,,,,1486,,1486
Sn27509es,Snacks,Cookies,0,1,985,,,,1657,2642
Sn24706es,Snacks,Noodles,1,0,,1557,,,,1557
Ba1230es,Bakery,Cakes,0,1,,,,,2484,2484
Be36695ks,Beverages,Health Drinks,0,1,609,,,,,609
Be37082ks,Beverages,Soft Drinks,1,0,,,,,839,839
Eg85490en,"Eggs, Meat & Fish",Chicken,1,0,710,,,,,710
Eg36396sh,"Eggs, Meat & Fish",Fish,0,1,,,,2388,,2388
Eg68162on,"Eggs, Meat & Fish",Mutton,1,0,1418,,,,,1418
Fr35195ts,Fruits & Veggies,Organic Fruits,0,1,,,,1315,,1315
Fr27801es,Fruits & Veggies,Organic Vegetables,1,0,,1410,,,,1410
Be2640ks,Beverages,Soft Drinks,1,0,1119,,,,,1119
Eg23920gs,"Eggs, Meat & Fish",Eggs,1,0,,,,,1175,1175
Fo10100ce,Food Grains,Rice,1,0,,,,1406,,1406
Fr31824es,Fruits & Veggies,Fresh Vegetables,1,0,2463,,,,1208,3671
Fr80220es,Fruits & Veggies,Organic Vegetables,1,0,,,,,1258,1258
Oi11186ee,Oil & Masala,Edible Oil & Ghee,1,0,1440,1299,,,,2739
Oi388es,Oil & Masala,Spices,1,0,,,,,2584,2584
Sn47003es,Snacks,Chocolates,1,0,,2348,,,,2348
Sn52871es,Snacks,Cookies,0,1,2143,,,,534,2677
Ba84280ns,Bakery,Breads & Buns,1,0,,1204,,,1575,2779
Be3579ks,Beverages,Health Drinks,1,0,,,,,530,530
Eg80008sh,"Eggs, Meat & Fish",Fish,1,0,,,,1680,,1680
Fo76326ur,Food Grains,Atta & Flour,1,0,,1919,,,,1919
Sn95426es,Snacks,Cookies,1,0,2428,,,,,2428
Sn82546es,Snacks,Noodles,0,1,,1736,,1071,,2807
Ba95699ns,Bakery,Breads & Buns,1,0,,1485,,565,,2050
Be57593ks,Beverages,Soft Drinks,1,0,2659,,,,,2659
Fo18163es,Food Grains,Dals & Pulses,1,0,693,,,,,693
Fo83168ce,Food Grains,Rice,0,1,,,,2354,,2354
Oi41838ee,Oil & Masala,Edible Oil & Ghee,0,1,2178,,,,,2178
Oi41452as,Oil & Masala,Masalas,0,1,2008,,,,,2008
Sn96430es,Snacks,Cookies,1,0,,,,,1111,1111
Sn51931es,Snacks,Noodles,1,0,,917,,,,917
Ba36860es,Bakery,Cakes,1,0,1771,,,,,1771
Be13623ks,Beverages,Health Drinks,0,1,,,,,1465,1465
Be92324ks,Beverages,Soft Drinks,0,1,,,,,1754,1754
Eg61555sh,"Eggs, Meat & Fish",Fish,1,0,,,,,616,616
Eg73721on,"Eggs, Meat & Fish",Mutton,1,0,,,,,1304,1304
Fo17113ur,Food Grains,Atta & Flour,1,0,,,,,1176,1176
Fo2117es,Food Grains,Dals & Pulses,1,0,2396,2493,,,,4889
